Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling rate
12/3/2003,EURO,2003,December,165.0968,165.7015,166.3063
4/24/2024,EURO,2024,April,1421.969,1422.5038,1423.0386
5/9/2016,US DOLLAR,2016,May,196.0,196.5,197.0
7/18/2017,US DOLLAR,2017,July,304.85,305.35,305.85
12/2/2021,WAUA,2021,December,571.9826,573.3786,574.7746
9/9/2022,EURO,2022,September,428.9792,429.4814,429.9836
8/14/2013,EURO,2013,August,205.0283,205.6907,206.3532
8/29/2012,US DOLLAR,2012,8,154.8,155.3,155.8
1/11/2022,WAUA,2022,January,576.9477,577.6455,578.3432
1/28/2002,US DOLLAR,2002,January,113.2,113.7,114.2
2/27/2013,EURO,2013,February,202.8308,203.4862,204.1415
4/3/2009,US DOLLAR,2009,April,144.7,145.2,145.7
2/16/2023,US DOLLAR,2023,February,460.04,460.54,461.04
12/28/2022,US DOLLAR,2022,December,447.08,447.58,448.08
6/9/2003,EURO,2003,June,149.3929,149.9812,150.5695
5/15/2014,US DOLLAR,2014,May,154.73,155.23,155.73
1/20/2009,WAUA,2009,January,215.8338,216.5884,217.343
8/16/2023,US DOLLAR,2023,August,766.467,766.967,767.467
2/24/2017,EURO,2017,February,323.0136,323.544,324.0744
11/3/2023,POUNDS STERLING,2023,November,965.1936,965.8102,966.4268
5/15/2013,US DOLLAR,2013,May,154.74,155.24,155.74
11/23/2022,EURO,2022,November,456.9709,457.4867,458.0026
10/8/2004,EURO,2004,October,162.4234,163.0392,163.655
7/1/2011,WAUA,2011,July,240.5369,241.3345,242.1321
6/30/2023,EURO,2023,June,839.7851,840.3305,840.8759
11/29/2007,POUNDS STERLING,2007,November,240.6642,241.6955,242.7268
1/16/2006,US DOLLAR,2006,January,128.0,128.5,129.0
1/20/2022,EURO,2022,January,470.0277,470.5948,471.1618
9/4/2003,EURO,2003,September,138.0407,138.5814,139.1221
2/27/2004,WAUA,2004,February,202.131,202.8852,203.6394
6/17/2002,WAUA,2002,June,149.4001,150.0302,150.6603
3/31/2015,WAUA,2015,March,270.4778,271.1678,271.8578
7/8/2020,POUNDS STERLING,2020,July,451.944,452.5717,453.1994
10/11/2012,WAUA,2012,October,237.4219,238.189,238.9561
1/14/2011,EURO,2011,January,199.137,199.8052,200.4734
4/26/2024,POUNDS STERLING,2024,April,1657.103,1657.7274,1658.3519
9/5/2014,POUNDS STERLING,2014,September,252.6896,253.5061,254.3227
4/28/2020,WAUA,2020,April,416.8529,417.4318,418.0108
2/6/2009,WAUA,2009,February,215.0092,215.7542,216.4992
1/4/2019,US DOLLAR,2019,January,305.95,306.45,306.95
7/29/2008,WAUA,2008,July,188.3099,189.1245,189.939
7/17/2017,EURO,2017,July,349.5679,350.1411,350.7144
10/3/2002,POUNDS STERLING,2002,October,196.2375,197.0225,197.8074
10/24/2012,EURO,2012,October,200.3678,201.0151,201.6625
8/22/2002,US DOLLAR,2002,August,124.0,124.5,125.0
7/3/2017,EURO,2017,July,346.6367,347.205,347.7734
5/19/2023,US DOLLAR,2023,May,460.31,460.81,461.31
3/10/2017,POUNDS STERLING,2017,March,370.271,370.8784,371.4858
8/11/2015,POUNDS STERLING,2015,August,305.662,306.4418,307.2215
10/5/2012,POUNDS STERLING,2012,October,250.5572,251.3666,252.1761
2/13/2015,EURO,2015,February,190.6305,191.2013,191.772
7/8/2020,EURO,2020,July,406.368,406.9324,407.4968
1/20/2017,WAUA,2017,January,411.8033,412.4795,413.1557
6/7/2011,POUNDS STERLING,2011,June,249.2847,250.1059,250.927
4/9/2021,WAUA,2021,April,538.6755,539.3861,540.0968
12/21/2015,EURO,2015,December,213.0128,213.5562,214.0996
6/1/2009,US DOLLAR,2009,June,145.7,146.2,146.7
9/14/2009,EURO,2009,September,219.7453,220.4739,221.2024
12/31/2015,POUNDS STERLING,2015,December,290.4524,291.1934,291.9343
5/19/2004,WAUA,2004,May,189.1568,189.8744,190.592
6/20/2018,EURO,2018,June,352.8944,353.4732,354.052
4/16/2007,POUNDS STERLING,2007,April,250.4856,251.4812,252.4769
8/11/2014,EURO,2014,August,207.2763,207.9461,208.6159
4/12/2006,US DOLLAR,2006,April,126.2,126.7,127.2
7/10/2007,US DOLLAR,2007,July,124.95,125.45,125.95
3/9/2011,US DOLLAR,2011,March,149.79,150.29,150.79
5/16/2019,WAUA,2019,May,422.2349,422.925,423.615
7/16/2012,POUNDS STERLING,2012,July,240.7454,241.5227,242.2999
2/15/2023,WAUA,2023,February,616.5747,617.2448,617.9149
8/28/2018,POUNDS STERLING,2018,August,394.2538,394.8998,395.5458
4/1/2019,POUNDS STERLING,2019,April,401.3758,402.0318,402.6877
2/22/2024,WAUA,2024,February,2127.4383,2128.1529,2128.8676
12/22/2006,EURO,2006,December,166.2948,166.9547,167.6146
12/15/2004,US DOLLAR,2004,December,131.88,132.38,132.88
10/12/2012,EURO,2012,October,200.6953,201.3437,201.9922
7/30/2007,EURO,2007,July,170.6087,171.2919,171.9751
5/20/2015,WAUA,2015,May,275.16,275.862,276.5639
10/12/2006,US DOLLAR,2006,October,126.01,126.51,127.01
7/26/2022,POUNDS STERLING,2022,July,497.4623,498.0614,498.6606
12/29/2003,WAUA,2003,December,198.8405,199.5716,200.3026
1/9/2004,POUNDS STERLING,2004,January,250.6048,251.5292,252.4536
11/13/2002,POUNDS STERLING,2002,November,199.7404,200.5336,201.3269
12/14/2020,WAUA,2020,December,542.945,543.6613,544.3776
6/10/2005,WAUA,2005,June,193.543,194.2769,195.0108
6/1/2022,WAUA,2022,June,558.9796,559.6537,560.3279
12/29/2010,EURO,2010,December,194.5176,195.174,195.8304
8/14/2008,WAUA,2008,August,182.6164,183.4064,184.1964
7/7/2020,POUNDS STERLING,2020,July,450.9,451.5263,452.1525
4/11/2016,US DOLLAR,2016,April,196.0,196.5,197.0
3/14/2016,POUNDS STERLING,2016,March,281.4756,282.1937,282.9117
9/26/2008,WAUA,2008,September,181.1745,181.9584,182.7423
5/7/2019,EURO,2019,May,342.3834,342.9429,343.5023
1/8/2018,US DOLLAR,2018,January,304.9,305.4,305.9
3/28/2017,WAUA,2017,March,416.4308,417.112,417.7932
11/26/2012,POUNDS STERLING,2012,November,247.8946,248.6955,249.4964
3/14/2024,WAUA,2024,March,2124.8467,2125.5067,2126.1667
1/7/2002,US DOLLAR,2002,January,112.7,113.2,113.7
2/17/2011,WAUA,2011,February,231.6002,232.3748,233.1494
8/2/2012,EURO,2012,August,190.5088,191.1239,191.739
4/21/2011,POUNDS STERLING,2011,April,251.269,252.0969,252.9247
5/21/2010,EURO,2010,May,185.3415,185.968,186.5944
5/21/2024,US DOLLAR,2024,May,1445.781,1446.281,1446.781
2/22/2018,WAUA,2018,February,441.4479,442.1717,442.8955
1/25/2007,WAUA,2007,January,187.1938,187.9366,188.6795
8/23/2023,EURO,2023,August,817.9429,818.4852,819.0274
11/23/2021,WAUA,2021,November,571.1285,572.5227,573.9169
5/16/2016,POUNDS STERLING,2016,May,281.7892,282.5081,283.2269
7/27/2022,EURO,2022,July,421.1844,421.6919,422.1994
9/8/2015,WAUA,2015,September,274.0281,274.7271,275.4262
8/14/2019,EURO,2019,August,342.0268,342.5858,343.1449
11/15/2018,EURO,2018,November,345.8078,346.3734,346.939
6/8/2016,EURO,2016,June,223.1068,223.676,224.2451
6/15/2012,POUNDS STERLING,2012,June,240.5287,241.3051,242.0815
9/25/2020,EURO,2020,September,440.8907,441.4724,442.054
11/11/2010,US DOLLAR,2010,November,147.7,148.2,148.7
3/13/2015,POUNDS STERLING,2015,March,289.982,290.7218,291.4615
5/24/2021,POUNDS STERLING,2021,May,578.2293,578.9358,579.6422
1/6/2020,EURO,2020,January,342.8118,343.372,343.9321
3/17/2011,POUNDS STERLING,2011,March,242.0711,242.878,243.6848
3/30/2015,EURO,2015,March,212.6404,213.1829,213.7253
2/9/2011,POUNDS STERLING,2011,February,240.026,240.8293,241.6326
12/30/2015,EURO,2015,December,214.1692,214.7156,215.2619
4/25/2022,EURO,2022,April,446.228,446.7656,447.3033
1/21/2014,POUNDS STERLING,2014,January,253.8355,254.6557,255.4759
3/29/2016,US DOLLAR,2016,March,196.0,196.5,197.0
5/13/2014,WAUA,2014,May,238.77,239.5415,240.3131
8/5/2019,EURO,2019,August,342.1797,342.739,343.2983
10/12/2021,POUNDS STERLING,2021,October,560.0874,560.7706,561.4539
6/8/2023,US DOLLAR,2023,June,461.9,462.4,462.9
4/17/2008,EURO,2008,April,184.2175,185.0136,185.8097
9/30/2015,EURO,2015,September,219.6404,220.2008,220.7613
5/4/2010,US DOLLAR,2010,May,147.61,148.11,148.61
4/11/2023,US DOLLAR,2023,April,459.93,460.43,460.93
7/21/2015,US DOLLAR,2015,July,196.0,196.5,197.0
10/16/2017,POUNDS STERLING,2017,October,404.9297,405.5945,406.2593
6/15/2021,POUNDS STERLING,2021,June,574.65,575.3523,576.0546
1/8/2013,US DOLLAR,2013,January,154.77,155.27,155.77
11/28/2013,POUNDS STERLING,2013,November,252.797,253.614,254.4309
11/17/2023,POUNDS STERLING,2023,November,1017.9643,1018.5853,1019.2062
8/2/2012,WAUA,2012,August,232.8007,233.5524,234.304
1/17/2006,US DOLLAR,2006,January,128.0,128.5,129.0
5/17/2016,US DOLLAR,2016,May,196.0,196.5,197.0
2/26/2007,US DOLLAR,2007,February,126.01,126.51,127.01
9/23/2015,WAUA,2015,September,274.5442,275.2445,275.9449
6/10/2009,POUNDS STERLING,2009,June,239.3798,240.201,241.0222
7/18/2007,WAUA,2007,July,190.7834,191.5472,192.3111
9/1/2005,WAUA,2005,September,191.7634,192.5092,193.2549
1/25/2023,WAUA,2023,January,619.2814,619.9548,620.6283
6/5/2023,US DOLLAR,2023,June,461.18,461.68,462.18
11/23/2007,EURO,2007,November,173.0899,173.8306,174.5712
5/25/2007,POUNDS STERLING,2007,May,248.5461,249.5383,250.5305
1/22/2008,WAUA,2008,January,182.2969,183.084,183.871
11/12/2018,EURO,2018,November,344.3711,344.9343,345.4976
6/18/2003,POUNDS STERLING,2003,June,213.3264,214.1664,215.0064
1/14/2008,EURO,2008,January,172.5337,173.2786,174.0235
12/16/2003,US DOLLAR,2003,December,136.1,136.6,137.1
1/21/2021,EURO,2021,January,460.4092,461.0166,461.624
10/18/2017,US DOLLAR,2017,October,304.6,305.1,305.6
9/20/2018,EURO,2018,September,359.277,359.8654,360.4538
12/29/2009,POUNDS STERLING,2009,December,235.4041,236.2043,237.0044
3/11/2009,POUNDS STERLING,2009,March,201.1173,201.808,202.4986
6/30/2022,EURO,2022,June,429.8137,430.8526,431.8915
11/13/2009,EURO,2009,November,222.0546,222.7992,223.5438
9/28/2018,EURO,2018,September,353.5953,354.1743,354.7533
1/19/2022,WAUA,2022,January,580.3913,581.0918,581.7922
9/27/2002,EURO,2002,September,122.4695,122.9584,123.4473
8/1/2022,POUNDS STERLING,2022,August,508.3546,508.9657,509.5769
10/25/2016,POUNDS STERLING,2016,October,369.9675,370.575,371.1825
12/19/2017,WAUA,2017,December,430.5556,431.2609,431.9663
11/20/2013,POUNDS STERLING,2013,November,249.8271,250.6344,251.4417
8/7/2007,WAUA,2007,August,190.4055,191.1683,191.9311
6/8/2017,POUNDS STERLING,2017,June,394.2438,394.8909,395.5381
2/26/2003,POUNDS STERLING,2003,February,198.4563,199.2437,200.0311
3/25/2015,EURO,2015,March,215.502,216.0518,216.6015
7/17/2012,WAUA,2012,July,231.7188,232.4669,233.215
5/31/2024,US DOLLAR,2024,June,1482.482,1482.982,1483.482
4/1/2016,US DOLLAR,2016,April,196.0,196.5,197.0
4/30/2013,US DOLLAR,2013,April,154.75,155.25,155.75
5/18/2023,EURO,2023,May,497.8577,498.3985,498.9392
1/12/2004,POUNDS STERLING,2004,January,251.1742,252.1007,253.0272
5/9/2011,US DOLLAR,2011,May,152.18,152.68,153.18
11/16/2015,WAUA,2015,November,270.5911,271.2814,271.9717
9/19/2007,WAUA,2007,September,189.8155,190.5846,191.3537
6/5/2015,US DOLLAR,2015,June,195.95,196.45,196.95
10/7/2002,US DOLLAR,2002,October,125.0,125.5,126.0
1/29/2015,WAUA,2015,January,234.2364,234.9377,235.639
12/1/2021,POUNDS STERLING,2021,December,545.7614,547.0935,548.4256
4/4/2017,WAUA,2017,April,413.6374,414.315,414.9925
5/30/2012,POUNDS STERLING,2012,May,241.4564,242.2366,243.0167
3/6/2020,WAUA,2020,March,422.7897,423.4806,424.1714
7/31/2018,EURO,2018,July,357.1013,357.687,358.2727
6/15/2004,US DOLLAR,2004,June,131.75,132.25,132.75
4/22/2015,WAUA,2015,April,269.4631,270.1505,270.8379
1/23/2004,US DOLLAR,2004,January,134.5,135.0,135.5
1/14/2019,WAUA,2019,January,426.881,427.5788,428.2767
4/20/2020,US DOLLAR,2020,April,360.0,360.5,361.0
7/20/2023,WAUA,2023,July,1065.2853,1065.9745,1066.6636
11/4/2011,WAUA,2011,November,235.3096,236.0954,236.8812
10/12/2020,POUNDS STERLING,2020,October,493.9507,494.6024,495.254
4/24/2009,EURO,2009,April,191.6215,192.2846,192.9476
10/19/2005,WAUA,2005,October,184.2746,184.9914,185.7081
10/7/2015,EURO,2015,October,220.8136,221.3769,221.9402
1/4/2016,EURO,2016,January,213.8164,214.3619,214.9073
5/18/2022,EURO,2022,May,436.429,436.9553,437.4816
12/23/2016,WAUA,2016,December,406.8845,407.5531,408.2218
8/14/2007,WAUA,2007,August,190.4042,191.1676,191.9311
5/14/2024,POUNDS STERLING,2024,May,1889.2083,1889.8373,1890.4664
11/23/2017,EURO,2017,November,361.1558,361.7481,362.3405
9/8/2011,POUNDS STERLING,2011,September,243.6538,244.4545,245.2551
9/3/2020,WAUA,2020,September,536.431,537.1387,537.8464
4/4/2012,WAUA,2012,April,239.2648,240.0371,240.8094
12/15/2020,US DOLLAR,2020,December,379.0,379.5,380.0
12/29/2016,WAUA,2016,December,406.283,406.9507,407.6184
10/15/2020,POUNDS STERLING,2020,October,489.8196,490.4658,491.112
8/18/2006,POUNDS STERLING,2006,August,237.1567,238.0974,239.038
8/8/2019,EURO,2019,August,342.3327,342.8922,343.4518
2/14/2003,POUNDS STERLING,2003,February,204.2547,205.0623,205.87
11/11/2013,POUNDS STERLING,2013,November,247.4586,248.2584,249.0581
1/23/2007,US DOLLAR,2007,January,126.0,126.5,127.0
2/1/2021,US DOLLAR,2021,February,379.0,379.5,380.0
7/1/2005,WAUA,2005,July,191.3748,192.1004,192.826
12/22/2016,WAUA,2016,December,406.8845,407.5531,408.2218
1/31/2022,EURO,2022,January,462.0242,463.1395,464.2548
4/2/2020,EURO,2020,April,392.652,393.1974,393.7427
2/25/2003,EURO,2003,February,136.7105,137.2489,137.7873
2/24/2003,EURO,2003,February,136.7359,137.2744,137.8129
2/28/2003,WAUA,2003,February,172.1886,172.8718,173.555
4/20/2010,WAUA,2010,April,223.3656,224.1233,224.8809
3/8/2011,US DOLLAR,2011,March,149.68,150.18,150.68
11/5/2015,US DOLLAR,2015,November,196.0,196.5,197.0
10/24/2012,WAUA,2012,October,237.4157,238.1828,238.9498
1/20/2020,EURO,2020,January,339.1456,339.6998,340.2541
8/3/2011,EURO,2011,August,213.0628,213.7741,214.4854
9/14/2004,POUNDS STERLING,2004,September,236.9956,237.8844,238.7732
6/16/2021,POUNDS STERLING,2021,June,577.9005,578.6066,579.3127
7/8/2008,US DOLLAR,2008,July,115.62,116.12,116.62
9/16/2014,WAUA,2014,September,231.3531,232.1006,232.8481
1/16/2002,US DOLLAR,2002,January,112.95,113.45,113.95
11/3/2015,EURO,2015,November,215.0685,215.6172,216.1659
8/28/2002,WAUA,2002,August,164.4878,165.1457,165.8037
2/20/2006,EURO,2006,February,151.7015,152.2988,152.896
1/4/2008,EURO,2008,January,170.446,171.182,171.9179
5/15/2008,EURO,2008,May,178.5906,179.3626,180.1347
1/11/2011,EURO,2011,January,192.8597,193.5078,194.1558
8/23/2011,EURO,2011,August,218.28,219.0035,219.727
10/10/2012,WAUA,2012,October,238.2055,238.9752,239.7448
10/17/2003,EURO,2003,October,148.8988,149.4789,150.0589
2/9/2007,US DOLLAR,2007,February,126.0,126.5,127.0
12/23/2011,US DOLLAR,2011,December,155.7,156.2,156.7
9/3/2002,WAUA,2002,September,163.2532,163.9061,164.5591
2/2/2021,EURO,2021,February,455.9749,456.5765,457.178
1/24/2011,POUNDS STERLING,2011,January,238.293,239.0905,239.888
12/10/2010,EURO,2010,December,195.9948,196.6569,197.319
3/2/2012,EURO,2012,March,204.8088,205.4699,206.131
6/26/2012,POUNDS STERLING,2012,June,241.9849,242.766,243.547
11/21/2007,EURO,2007,November,172.8095,173.549,174.2884
5/27/2016,EURO,2016,May,218.9124,219.4709,220.0293
5/26/2004,US DOLLAR,2004,May,131.8,132.3,132.8
2/11/2014,POUNDS STERLING,2014,February,254.6411,255.4639,256.2866
8/20/2013,US DOLLAR,2013,August,154.76,155.26,155.76
1/26/2009,US DOLLAR,2009,January,143.1,143.6,144.1
12/22/2014,WAUA,2014,December,242.5432,243.2694,243.9956
6/9/2004,US DOLLAR,2004,June,131.75,132.25,132.75
1/13/2014,US DOLLAR,2014,January,154.72,155.22,155.72
11/21/2006,POUNDS STERLING,2006,November,239.1922,240.1413,241.0904
8/14/2013,POUNDS STERLING,2013,August,239.8006,240.5754,241.3502
5/8/2015,POUNDS STERLING,2015,May,302.0752,302.8458,303.6164
10/22/2018,POUNDS STERLING,2018,October,397.49,398.1404,398.7909
10/31/2007,US DOLLAR,2007,October,120.88,121.38,121.88
2/2/2017,WAUA,2017,February,414.0104,414.6908,415.3712
7/12/2010,WAUA,2010,July,219.9289,220.6738,221.4187
3/1/2002,EURO,2002,March,99.4564,99.8899,100.3235
10/9/2006,WAUA,2006,October,185.7444,186.4814,187.2184
7/9/2014,POUNDS STERLING,2014,July,264.6502,265.5054,266.3606
12/2/2019,EURO,2019,December,336.7898,337.3402,337.8906
5/15/2009,US DOLLAR,2009,May,145.5,146.0,146.5
4/8/2020,POUNDS STERLING,2020,April,444.852,445.4699,446.0877
10/18/2011,US DOLLAR,2011,October,148.95,149.45,149.95
7/1/2019,US DOLLAR,2019,July,305.95,306.45,306.95
8/3/2009,US DOLLAR,2009,August,149.25,149.75,150.25
5/26/2005,POUNDS STERLING,2005,May,240.6688,241.5816,242.4944
12/7/2004,EURO,2004,December,177.5097,178.1828,178.856
10/17/2011,US DOLLAR,2011,October,148.95,149.45,149.95
6/23/2017,EURO,2017,June,340.6089,341.1676,341.7262
7/2/2019,WAUA,2019,July,423.9944,424.6873,425.3802
5/4/2021,WAUA,2021,May,542.6724,543.3884,544.1043
11/25/2019,POUNDS STERLING,2019,November,393.7577,394.4012,395.0447
9/2/2010,WAUA,2010,September,223.8632,224.6192,225.3752
12/22/2010,EURO,2010,December,194.7843,195.4416,196.0989
12/1/2020,US DOLLAR,2020,December,379.0,379.5,380.0
11/7/2018,US DOLLAR,2018,November,305.65,306.15,306.65
3/17/2010,POUNDS STERLING,2010,March,226.1116,226.8786,227.6456
7/24/2018,EURO,2018,July,356.5806,357.1653,357.7501
10/5/2016,WAUA,2016,October,423.0459,423.7417,424.4375
8/3/2023,WAUA,2023,August,991.2,991.8471,992.4941
1/9/2009,EURO,2009,January,196.1388,196.8246,197.5104
8/25/2023,POUNDS STERLING,2023,August,973.4838,974.1127,974.7417
1/9/2013,POUNDS STERLING,2013,January,248.0963,248.8978,249.6993
12/7/2005,EURO,2005,December,150.1056,150.692,151.2783
5/22/2019,US DOLLAR,2019,May,305.9,306.4,306.9
12/28/2006,EURO,2006,December,165.7278,166.3854,167.0431
5/9/2019,WAUA,2019,May,423.2541,423.9457,424.6373
5/28/2024,POUNDS STERLING,2024,May,1695.6917,1696.3306,1696.9695
2/3/2003,US DOLLAR,2003,February,126.36,126.86,127.36
10/2/2009,POUNDS STERLING,2009,October,232.0489,232.8419,233.6348
7/11/2018,EURO,2018,July,357.4718,358.0583,358.6448
1/19/2021,EURO,2021,January,459.6133,460.2197,460.826
8/24/2018,EURO,2018,August,353.6109,354.1904,354.7699
7/14/2008,WAUA,2008,July,187.969,188.782,189.595
1/18/2024,POUNDS STERLING,2024,January,1126.8847,1127.5178,1128.1508
1/19/2005,WAUA,2005,January,200.2045,200.9636,201.7226
6/5/2002,EURO,2002,June,108.5625,109.0313,109.5
8/20/2021,POUNDS STERLING,2021,August,556.9078,557.5884,558.269
2/4/2010,WAUA,2010,February,229.5311,230.3069,231.0826
7/18/2007,US DOLLAR,2007,July,124.88,125.38,125.88
4/5/2007,US DOLLAR,2007,April,125.78,126.28,126.78
7/5/2023,US DOLLAR,2023,July,755.6,756.1,756.6
7/31/2013,EURO,2013,July,205.3201,205.9834,206.6468
9/22/2021,US DOLLAR,2021,September,409.63,410.13,410.63
11/2/2010,WAUA,2010,November,231.8861,232.6722,233.4582
7/5/2002,WAUA,2002,July,149.4116,150.0359,150.6603
1/9/2024,WAUA,2024,January,1171.1917,1171.8071,1172.4226
12/11/2001,POUNDS STERLING,2001,December,160.158,160.874,161.5899
1/8/2018,WAUA,2018,January,434.2421,434.9542,435.6663
10/26/2015,WAUA,2015,October,273.7537,274.4521,275.1506
6/22/2015,EURO,2015,June,222.229,222.7962,223.3634
8/8/2006,EURO,2006,August,161.9243,162.5665,163.2087
3/13/2014,WAUA,2014,March,238.8749,239.6467,240.4186
12/19/2012,EURO,2012,December,205.4107,206.0743,206.7379
10/22/2007,POUNDS STERLING,2007,October,248.1194,249.1354,250.1515
4/10/2003,POUNDS STERLING,2003,April,197.4484,198.2302,199.0121
6/29/2012,US DOLLAR,2012,June,154.94,155.44,155.94
6/29/2018,WAUA,2018,June,427.5191,428.2206,428.922
5/18/2018,POUNDS STERLING,2018,May,411.3036,411.9782,412.6528
3/17/2014,EURO,2014,March,215.0731,215.7681,216.463
10/15/2012,EURO,2012,October,200.7108,201.3593,202.0078
6/6/2016,POUNDS STERLING,2016,June,282.4164,283.1369,283.8573
4/17/2009,EURO,2009,April,189.3698,190.0233,190.6767
11/14/2007,EURO,2007,November,172.0759,172.8102,173.5445
10/21/2015,US DOLLAR,2015,October,195.98,196.48,196.98
2/24/2014,POUNDS STERLING,2014,February,257.4731,258.305,259.1369
2/21/2023,WAUA,2023,February,611.5821,612.2469,612.9117
10/19/2017,WAUA,2017,October,428.5826,429.2861,429.9896
12/30/2022,WAUA,2022,December,594.9948,595.6588,596.3228
5/15/2015,POUNDS STERLING,2015,May,307.8572,308.6426,309.4279
2/4/2020,EURO,2020,February,338.2218,338.7745,339.3271
6/30/2003,POUNDS STERLING,2003,June,201.9932,202.7889,203.5847
1/12/2010,POUNDS STERLING,2010,January,237.9492,238.7563,239.5634
4/28/2006,US DOLLAR,2006,April,126.18,126.68,127.18
6/6/2019,POUNDS STERLING,2019,June,389.352,389.9883,390.6246
9/29/2014,WAUA,2014,September,230.0085,230.7516,231.4948
8/24/2007,POUNDS STERLING,2007,August,248.7078,249.7102,250.7127
3/24/2010,WAUA,2010,March,223.7215,224.4809,225.2403
9/16/2021,WAUA,2021,September,583.3071,584.0192,584.7313
3/2/2010,POUNDS STERLING,2010,March,220.8497,221.5988,222.3479
4/11/2011,US DOLLAR,2011,April,151.21,151.71,152.21
8/6/2024,US DOLLAR,2023,August,1592.136,1592.636,1593.136
8/30/2016,US DOLLAR,2016,August,304.5,305.0,305.5
4/9/2020,POUNDS STERLING,2020,April,446.976,447.5968,448.2176
12/31/2004,US DOLLAR,2004,December,131.85,132.35,132.85
3/21/2024,POUNDS STERLING,2024,March,1839.684,1840.3193,1840.9546
7/16/2002,POUNDS STERLING,2002,July,192.2641,193.0511,193.8381
9/28/2016,US DOLLAR,2016,September,304.5,305.0,305.5
3/18/2002,POUNDS STERLING,2002,March,163.7758,164.4872,165.1987
7/18/2008,WAUA,2008,July,189.2627,190.0813,190.8999
6/29/2012,EURO,2012,June,195.1469,195.7767,196.4064
6/9/2009,EURO,2009,June,202.8257,203.5215,204.2173
7/4/2014,EURO,2014,July,210.2471,210.9265,211.6059
1/3/2017,US DOLLAR,2017,January,304.0,304.5,305.0
7/27/2007,WAUA,2007,July,190.6983,191.4619,192.2255
9/25/2018,US DOLLAR,2018,September,305.35,305.85,306.35
4/8/2004,WAUA,2004,April,194.1388,194.8703,195.6018
6/28/2005,POUNDS STERLING,2005,June,240.3249,241.236,242.1472
7/14/2005,WAUA,2005,July,191.5929,192.3194,193.0458
4/26/2023,US DOLLAR,2023,April,459.97,460.47,460.97
8/15/2003,POUNDS STERLING,2003,August,203.3981,204.1983,204.9984
4/1/2005,WAUA,2005,April,198.4533,199.2058,199.9584
3/27/2020,EURO,2020,March,396.288,396.8384,397.3888
7/7/2017,US DOLLAR,2017,July,305.0,305.5,306.0
9/18/2018,POUNDS STERLING,2018,September,401.4084,402.0658,402.7232
11/4/2010,WAUA,2010,November,232.6352,233.4233,234.2113
5/30/2012,WAUA,2012,May,233.8497,234.6053,235.3609
6/9/2008,WAUA,2008,June,186.7031,187.5103,188.3175
4/3/2019,US DOLLAR,2019,April,306.0,306.5,307.0
6/3/2008,EURO,2008,June,180.3562,181.136,181.9157
3/18/2005,WAUA,2005,March,202.2941,203.0612,203.8283
3/13/2007,US DOLLAR,2007,March,125.96,126.46,126.96
3/11/2003,EURO,2003,March,139.7257,140.2785,140.8313
10/26/2011,POUNDS STERLING,2011,October,238.2564,239.0557,239.8549
6/1/2020,EURO,2020,June,400.284,400.84,401.3959
5/14/2008,POUNDS STERLING,2008,May,225.1322,226.1054,227.0787
4/3/2009,EURO,2009,April,194.39,195.0617,195.7334
10/26/2016,WAUA,2016,October,417.151,417.836,418.521
5/14/2014,US DOLLAR,2014,May,154.73,155.23,155.73
12/20/2016,EURO,2016,December,315.8115,316.3305,316.8495
5/25/2015,EURO,2015,May,215.1688,215.7177,216.2666
12/8/2020,WAUA,2020,December,543.0585,543.775,544.4914
10/12/2009,WAUA,2009,October,230.7031,231.493,232.2829
7/29/2003,WAUA,2003,July,177.5657,178.2651,178.9646
2/18/2010,POUNDS STERLING,2010,February,230.3981,231.178,231.9579
3/12/2020,WAUA,2020,March,425.0696,425.7642,426.4589
6/14/2002,POUNDS STERLING,2002,June,175.1458,175.8845,176.6232
11/25/2016,US DOLLAR,2016,November,304.25,304.75,305.25
12/27/2023,US DOLLAR,2023,December,895.608,896.108,896.608
7/23/2020,US DOLLAR,2020,July,360.0,360.5,361.0
11/23/2021,US DOLLAR,2021,November,409.64,410.64,411.64
2/1/2002,WAUA,2002,February,141.6434,141.2646,141.8858
6/18/2015,US DOLLAR,2015,June,195.9,196.4,196.9
7/19/2002,POUNDS STERLING,2002,July,196.7476,197.5368,198.326
10/5/2023,EURO,2023,October,812.0459,812.5721,813.0984
8/18/2008,EURO,2008,August,170.0413,170.7769,171.5125
8/29/2007,US DOLLAR,2007,August,123.95,124.45,124.95
10/14/2011,WAUA,2011,October,244.3663,245.1863,246.0063
10/15/2014,POUNDS STERLING,2014,October,246.4398,247.236,248.0322
9/8/2022,EURO,2022,September,427.5708,428.0718,428.5727
9/15/2015,US DOLLAR,2015,September,196.0,196.5,197.0
12/23/2022,WAUA,2022,December,593.3285,593.9925,594.6565
11/14/2019,POUNDS STERLING,2019,November,392.8674,393.5095,394.1517
11/11/2002,WAUA,2002,November,165.6316,166.2899,166.9482
8/12/2021,US DOLLAR,2021,August,409.12,409.62,410.12
12/6/2006,EURO,2006,December,167.47,168.1343,168.7986
7/28/2010,EURO,2010,July,191.9981,192.6485,193.2989
4/25/2006,POUNDS STERLING,2006,April,225.3575,226.2505,227.1435
2/15/2017,EURO,2017,February,321.4911,322.019,322.5469
11/27/2013,US DOLLAR,2013,November,154.72,155.22,155.72
8/8/2008,US DOLLAR,2008,August,115.58,116.08,116.58
