Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling rate
8/7/2014,US DOLLAR,2014,August,154.73,155.23,155.73
10/17/2006,US DOLLAR,2006,October,126.0,126.5,127.0
5/24/2019,WAUA,2019,May,420.4036,421.0907,421.7779
7/7/2023,WAUA,2023,July,1007.0238,1007.6642,1008.3047
2/18/2020,EURO,2020,February,331.1297,331.6708,332.212
4/22/2003,US DOLLAR,2003,April,126.51,127.01,127.51
6/18/2021,US DOLLAR,2021,June,409.2,409.7,410.2
9/21/2007,EURO,2007,September,173.4881,174.191,174.894
3/30/2017,WAUA,2017,March,415.3721,416.0522,416.7322
3/21/2006,WAUA,2006,March,182.3995,183.1204,183.8414
11/8/2017,POUNDS STERLING,2017,November,399.9724,400.6282,401.284
12/1/2014,WAUA,2014,December,239.4338,240.1506,240.8675
1/25/2002,EURO,2002,January,98.2576,98.6916,99.1256
2/3/2021,EURO,2021,February,455.2548,455.8554,456.456
5/26/2005,EURO,2005,May,165.3544,165.9816,166.6087
8/13/2014,WAUA,2014,August,235.8009,236.5629,237.3249
11/17/2016,US DOLLAR,2016,November,304.5,305.0,305.5
8/7/2018,POUNDS STERLING,2018,August,395.585,396.2335,396.882
10/25/2022,EURO,2022,October,430.6975,431.1906,431.6838
2/7/2005,EURO,2005,February,169.4141,170.0566,170.699
9/26/2006,US DOLLAR,2006,September,126.02,126.52,127.02
11/7/2023,EURO,2023,November,856.7588,857.2924,857.826
10/17/2008,EURO,2008,October,153.7046,154.3697,155.0348
12/10/2013,EURO,2013,December,212.6764,213.3636,214.0509
9/26/2017,US DOLLAR,2017,September,304.8,305.3,305.8
3/20/2017,US DOLLAR,2017,March,306.5,307.0,307.5
8/4/2023,POUNDS STERLING,2023,August,957.7081,958.3469,958.9857
12/16/2008,POUNDS STERLING,2008,December,198.7224,199.4853,200.2481
6/15/2022,WAUA,2022,June,549.2597,550.5871,551.9145
11/21/2023,EURO,2023,November,880.1021,880.6495,881.1969
8/1/2023,WAUA,2023,August,1018.5087,1019.166,1019.8232
4/27/2007,WAUA,2007,April,190.5534,191.312,192.0705
4/5/2024,US DOLLAR,2024,April,1246.165,1246.665,1247.165
8/24/2004,EURO,2004,August,159.9483,160.5549,161.1615
9/4/2023,US DOLLAR,2023,September,760.529,761.029,761.529
3/28/2006,EURO,2006,March,152.5353,153.1394,153.7435
8/16/2011,US DOLLAR,2011,August,150.01,150.51,151.01
8/15/2007,WAUA,2007,August,190.4042,191.1676,191.9311
11/11/2021,EURO,2021,November,470.7584,471.3319,471.9055
1/8/2013,WAUA,2013,January,234.4921,235.2496,236.0072
11/5/2014,POUNDS STERLING,2014,November,246.101,246.8959,247.6908
1/14/2011,US DOLLAR,2011,January,149.01,149.51,150.01
8/17/2009,WAUA,2009,August,231.4742,232.2496,233.0249
3/2/2006,POUNDS STERLING,2006,March,220.7046,221.577,222.4493
8/26/2019,WAUA,2019,August,418.4873,419.1711,419.8549
10/17/2019,EURO,2019,October,339.9467,340.5023,341.058
10/21/2002,US DOLLAR,2002,October,125.7,126.2,126.7
1/10/2024,EURO,2024,January,1047.2161,1047.7632,1048.3103
10/26/2022,EURO,2022,October,438.078,438.5791,439.0801
11/12/2003,EURO,2003,November,157.3472,157.9295,158.5117
10/10/2012,US DOLLAR,2012,October,154.75,155.25,155.75
8/30/2005,WAUA,2005,August,193.0701,193.821,194.5718
12/23/2019,WAUA,2019,December,421.3341,422.0225,422.711
7/30/2009,EURO,2009,July,210.0648,210.7709,211.477
8/7/2009,WAUA,2009,August,230.2921,231.0633,231.8345
4/16/2008,WAUA,2008,April,189.0894,189.9066,190.7237
6/11/2002,WAUA,2002,June,145.9487,146.5761,147.2036
10/17/2022,WAUA,2022,October,554.7196,555.3559,555.9923
6/13/2006,POUNDS STERLING,2006,June,232.1528,233.0728,233.9928
5/12/2015,US DOLLAR,2015,May,196.0,196.5,197.0
8/25/2011,EURO,2011,August,218.2035,218.9256,219.6476
9/3/2013,EURO,2013,September,203.8344,204.4929,205.1515
11/9/2011,EURO,2011,November,206.9307,207.6122,208.2937
9/13/2004,WAUA,2004,September,192.2268,192.9558,193.6848
9/5/2007,US DOLLAR,2007,September,123.81,124.31,124.81
